Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",94.020000,-64.500000,0.000000,top
"C2","100n","C_0402_1005Metric",90.500000,-67.250000,90.000000,top
"C3","100n","C_0402_1005Metric",98.980000,-76.500000,180.000000,top
"C4","100n","C_0402_1005Metric",102.500000,-68.000000,-90.000000,top
"C5","10u","C_0603_1608Metric",94.000000,-63.000000,0.000000,top
"C8","100n","C_0402_1005Metric",90.250000,-72.000000,90.000000,top
"C9","100n","C_0402_1005Metric",88.750000,-71.250000,180.000000,top
"C10","8p","C_0402_1005Metric",84.750000,-74.020000,90.000000,top
"C11","8p","C_0402_1005Metric",84.750000,-76.020000,90.000000,top
"C12","20p","C_0402_1005Metric",84.500000,-67.770000,90.000000,top
"C13","20p","C_0402_1005Metric",84.500000,-69.770000,90.000000,top
"C14","22u","C_0805_2012Metric",107.000000,-76.500000,0.000000,top
"C15","22u","C_0805_2012Metric",112.000000,-82.750000,90.000000,top
"D1","RED","LED_0603_1608Metric",112.500000,-76.750000,-90.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",69.750000,-58.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",109.750000,-58.000000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",69.750000,-117.000000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3",109.750000,-117.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_XKB_U254-051T-4BH83-F1S",112.460000,-69.250000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.080000,-59.250000,-90.000000,top
"N1","IN-14","nixies-us-IN-14",76.500000,-103.750000,180.000000,top
"Q1","MMBTA42","SOT-23",70.212500,-87.250000,90.000000,top
"Q2","MMBTA42","SOT-23",68.787500,-73.250000,90.000000,top
"R1","1k5","R_0402_1005Metric",107.250000,-68.500000,-90.000000,top
"R2","10k","R_0402_1005Metric",83.000000,-63.250000,0.000000,top
"R3","1k5","R_0402_1005Metric",112.010000,-74.500000,0.000000,top
"R4","10k","R_1206_3216Metric",103.250000,-115.500000,180.000000,top
"R7","30k","R_1206_3216Metric",73.037500,-73.500000,-90.000000,top
"R10","30k","R_1206_3216Metric",73.712500,-85.712500,-90.000000,top
"R11","4k7","R_1206_3216Metric",74.712500,-90.250000,0.000000,top
"R12","4k7","R_1206_3216Metric",73.537500,-77.750000,0.000000,top
"R13","1M","R_1206_3216Metric",110.095000,-110.555000,-90.000000,top
"SW1","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",86.500000,-59.500000,180.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",96.500000,-70.500000,0.000000,top
"U2","NCH8200HV","NCH8200HV",98.000000,-104.250000,-90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",107.000000,-82.250000,-90.000000,top
"U5","K155ID1","SN74141N",91.250000,-86.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",82.250000,-74.770000,-90.000000,top
"Y2","32.768KHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",82.250000,-68.520000,-90.000000,top
